-1.933704157,29.895423507103246 - 5.518413841684404im,29.895423507103246 + 5.518413841684404im
-1.93352756,29.89533520833453 - 5.5179045303375736im,29.89533520833453 + 5.5179045303375736im
-1.933487859,29.895315357961813 - 5.517790026588897im,29.895315357961813 + 5.517790026588897im
-1.933481014,29.89531193547404 - 5.5177702842887015im,29.89531193547404 + 5.5177702842887015im
-1.933478276,29.89531056647813 - 5.5177623873460115im,29.89531056647813 + 5.5177623873460115im
-1.9334728,29.895307828484942 - 5.51774659342187im,29.895307828484942 + 5.51774659342187im
-1.933468693,29.89530577498885 - 5.517734747944841im,29.89530577498885 + 5.517734747944841im
-1.93345911,29.89530098349396 - 5.51770710838539im,29.89530098349396 + 5.51770710838539im
-1.933482383,29.895312619971822 - 5.517774232755199im,29.895312619971822 + 5.517774232755199im
-1.9334728,29.895307828484942 - 5.51774659342187im,29.895307828484942 + 5.51774659342187im
-1.933470062,29.89530645948766 - 5.517738696440413im,29.89530645948766 + 5.517738696440413im
-1.933464586,29.895303721491725 - 5.517722902438747im,29.895303721491725 + 5.517722902438747im
-1.933449527,29.895296191993474 - 5.517679468667647im,29.895296191993474 + 5.517679468667647im
-1.933471431,29.895307143986358 - 5.517742644932757im,29.895307143986358 + 5.517742644932757im
-1.93345911,29.89530098349396 - 5.51770710838539im,29.89530098349396 + 5.51770710838539im
-1.933455003,29.89529892999444 - 5.517695262811454im,29.89529892999444 + 5.517695262811454im
-1.933464586,29.895303721491725 - 5.517722902438747im,29.895303721491725 + 5.517722902438747im
-1.933496073,29.895319464943366 - 5.517813717242536im,29.895319464943366 + 5.517813717242536im
-1.933490597,29.89531672695612 - 5.517797923486366im,29.89531672695612 + 5.517797923486366im
-1.933496073,29.895319464943366 - 5.517813717242536im,29.895319464943366 + 5.517813717242536im
-1.933487859,29.895315357961813 - 5.517790026588897im,29.895315357961813 + 5.517790026588897im
-1.933491966,29.895317411453103 - 5.5178018719302555im,29.895317411453103 + 5.5178018719302555im
-1.933504287,29.895323571920805 - 5.517837407779889im,29.895323571920805 + 5.517837407779889im
-1.933507025,29.895324940912367 - 5.517845304599829im,29.895324940912367 + 5.517845304599829im
-1.933460479,29.895301667993575 - 5.517711056903574im,29.895301667993575 + 5.517711056903574im
-1.933415302,29.895279079446 - 5.517580754097824im,29.895279079446 + 5.517580754097824im
-1.93341804,29.89528044845243 - 5.51758865133771im,29.89528044845243 + 5.51758865133771im
-1.933501549,29.89532220292878 - 5.517829510947026im,29.89532220292878 + 5.517829510947026im
-1.93350018,29.895321518432603 - 5.517825562525748im,29.895321518432603 + 5.517825562525748im
-1.933782187,29.89546252223224 - 5.518638869114725im,29.89546252223224 + 5.518638869114725im
-1.933750702,29.89544677933015 - 5.518548069835152im,29.89544677933015 + 5.518548069835152im
-1.933763022,29.895452939603388 - 5.518583600191443im,29.895452939603388 + 5.518583600191443im
-1.933615174,29.895379015713388 - 5.518157218653451im,29.895379015713388 + 5.518157218653451im
-1.933711002,29.895426929497845 - 5.518433581352441im,29.895426929497845 + 5.518433581352441im
-1.933589164,29.895366010446665 - 5.518082203190388im,29.895366010446665 + 5.518082203190388im
-1.933724691,29.895433774278466 - 5.5184730604463335im,29.895433774278466 + 5.5184730604463335im
-1.93370005,29.895421453665115 - 5.518401997844835im,29.895421453665115 + 5.518401997844835im
-1.933721954,29.895432405323255 - 5.518465164653387im,29.895432405323255 + 5.518465164653387im
-1.933721954,29.895432405323255 - 5.518465164653387im,29.895432405323255 + 5.518465164653387im
-1.933749333,29.895446094854776 - 5.518544122001644im,29.895446094854776 + 5.518544122001644im
-1.933705526,29.895424191582393 - 5.518417789624472im,29.895424191582393 + 5.518417789624472im
-1.933801353,29.89547210483869 - 5.518694137405188im,29.89547210483869 + 5.518694137405188im
-1.933799984,29.895471420367542 - 5.518690189691138im,29.895471420367542 + 5.518690189691138im
-1.933802721,29.895472789309718 - 5.518698085116006im,29.895472789309718 + 5.518698085116006im
-1.93385611,29.895499483590786 - 5.518852043319703im,29.895499483590786 + 5.518852043319703im
-1.933912236,29.895527546621864 - 5.5190138915215im,29.895527546621864 + 5.5190138915215im
-1.933925925,29.895534391234442 - 5.51905336586951im,29.895534391234442 + 5.51905336586951im
-1.933940983,29.895541920295074 - 5.519096787279493im,29.895541920295074 + 5.519096787279493im
-1.934069661,29.895606258976354 - 5.519467827036299im,29.895606258976354 + 5.519467827036299im
-1.93405871,29.895600783383227 - 5.519436250294892im,29.895600783383227 + 5.519436250294892im
-1.934186016,29.895664436701534 - 5.519803317158975im,29.895664436701534 + 5.519803317158975im
-1.934295526,29.89571919145319 - 5.5201190512729825im,29.89571919145319 + 5.5201190512729825im
-1.934366706,29.895754781649487 - 5.520324267375145im,29.895754781649487 + 5.520324267375145im
-1.934485795,29.895814326094516 - 5.52066759019649im,29.895814326094516 + 5.52066759019649im
-1.934539179,29.895841018151124 - 5.520821485605992im,29.895841018151124 + 5.520821485605992im
-1.934622677,29.895882766916724 - 5.52106218397523im,29.895882766916724 + 5.52106218397523im
-1.934611726,29.895877291693004 - 5.52103061765958im,29.895877291693004 + 5.52103061765958im
-1.934659634,29.895901245742778 - 5.5211687187670755im,29.895901245742778 + 5.5211687187670755im
-1.934756818,29.89594983781368 - 5.521448854595874im,29.89594983781368 + 5.521448854595874im
